cont,label,score,divisor,posx,posy,posx,new_width,new_width,new_height,new_height,posy
1,Z,0.196287,40,0,0,0,47,47,47,47,0
1,S,0.803713,40,0,0,0,47,47,47,47,0
2,Z,0.082228,40,47,0,47,95,95,47,47,0
2,S,0.917772,40,47,0,47,95,95,47,47,0
3,Z,0.082534,40,95,0,95,142,142,47,47,0
3,S,0.917466,40,95,0,95,142,142,47,47,0
4,Z,0.027584,40,142,0,142,190,190,47,47,0
4,S,0.972416,40,142,0,142,190,190,47,47,0
5,Z,0.023779,40,190,0,190,237,237,47,47,0
5,S,0.976221,40,190,0,190,237,237,47,47,0
6,Z,0.134550,40,237,0,237,285,285,47,47,0
6,S,0.865450,40,237,0,237,285,285,47,47,0
7,Z,0.035170,40,285,0,285,332,332,47,47,0
7,S,0.964830,40,285,0,285,332,332,47,47,0
8,Z,0.078228,40,332,0,332,380,380,47,47,0
8,S,0.921772,40,332,0,332,380,380,47,47,0
9,Z,0.015358,40,380,0,380,427,427,47,47,0
9,S,0.984642,40,380,0,380,427,427,47,47,0
10,Z,0.029741,40,427,0,427,475,475,47,47,0
10,S,0.970259,40,427,0,427,475,475,47,47,0
11,Z,0.025822,40,475,0,475,522,522,47,47,0
11,S,0.974178,40,475,0,475,522,522,47,47,0
12,Z,0.007671,40,522,0,522,570,570,47,47,0
12,S,0.992329,40,522,0,522,570,570,47,47,0
13,Z,0.047150,40,570,0,570,617,617,47,47,0
13,S,0.952850,40,570,0,570,617,617,47,47,0
14,Z,0.061711,40,617,0,617,665,665,47,47,0
14,S,0.938289,40,617,0,617,665,665,47,47,0
15,Z,0.179069,40,665,0,665,712,712,47,47,0
15,S,0.820931,40,665,0,665,712,712,47,47,0
16,Z,0.044275,40,712,0,712,760,760,47,47,0
16,S,0.955725,40,712,0,712,760,760,47,47,0
17,Z,0.128866,40,760,0,760,807,807,47,47,0
17,S,0.871134,40,760,0,760,807,807,47,47,0
18,Z,0.060211,40,807,0,807,855,855,47,47,0
18,S,0.939789,40,807,0,807,855,855,47,47,0
19,Z,0.045847,40,855,0,855,902,902,47,47,0
19,S,0.954153,40,855,0,855,902,902,47,47,0
20,Z,0.076183,40,902,0,902,950,950,47,47,0
20,S,0.923817,40,902,0,902,950,950,47,47,0
21,Z,0.128402,40,950,0,950,997,997,47,47,0
21,S,0.871598,40,950,0,950,997,997,47,47,0
22,Z,0.026945,40,997,0,997,1045,1045,47,47,0
22,S,0.973055,40,997,0,997,1045,1045,47,47,0
23,Z,0.048734,40,1045,0,1045,1092,1092,47,47,0
23,S,0.951266,40,1045,0,1045,1092,1092,47,47,0
24,Z,0.023332,40,1092,0,1092,1140,1140,47,47,0
24,S,0.976668,40,1092,0,1092,1140,1140,47,47,0
25,Z,0.113403,40,1140,0,1140,1187,1187,47,47,0
25,S,0.886597,40,1140,0,1140,1187,1187,47,47,0
26,Z,0.013624,40,1187,0,1187,1235,1235,47,47,0
26,S,0.986376,40,1187,0,1187,1235,1235,47,47,0
27,Z,0.081939,40,1235,0,1235,1282,1282,47,47,0
27,S,0.918061,40,1235,0,1235,1282,1282,47,47,0
28,Z,0.204579,40,1282,0,1282,1330,1330,47,47,0
28,S,0.795421,40,1282,0,1282,1330,1330,47,47,0
29,Z,0.008668,40,1330,0,1330,1377,1377,47,47,0
29,S,0.991332,40,1330,0,1330,1377,1377,47,47,0
30,Z,0.034161,40,1377,0,1377,1425,1425,47,47,0
30,S,0.965839,40,1377,0,1377,1425,1425,47,47,0
31,Z,0.060709,40,1425,0,1425,1472,1472,47,47,0
31,S,0.939291,40,1425,0,1425,1472,1472,47,47,0
32,Z,0.019723,40,1472,0,1472,1520,1520,47,47,0
32,S,0.980277,40,1472,0,1472,1520,1520,47,47,0
33,Z,0.050275,40,1520,0,1520,1567,1567,47,47,0
33,S,0.949725,40,1520,0,1520,1567,1567,47,47,0
34,Z,0.437065,40,1567,0,1567,1615,1615,47,47,0
34,S,0.562935,40,1567,0,1567,1615,1615,47,47,0
35,Z,0.053757,40,1615,0,1615,1662,1662,47,47,0
35,S,0.946243,40,1615,0,1615,1662,1662,47,47,0
36,Z,0.021522,40,1662,0,1662,1710,1710,47,47,0
36,S,0.978478,40,1662,0,1662,1710,1710,47,47,0
37,Z,0.229326,40,1710,0,1710,1757,1757,47,47,0
37,S,0.770674,40,1710,0,1710,1757,1757,47,47,0
38,Z,0.194062,40,1757,0,1757,1805,1805,47,47,0
38,S,0.805938,40,1757,0,1757,1805,1805,47,47,0
39,Z,0.011911,40,1805,0,1805,1852,1852,47,47,0
39,S,0.988089,40,1805,0,1805,1852,1852,47,47,0
40,Z,0.053787,40,1852,0,1852,1900,1900,47,47,0
40,S,0.946213,40,1852,0,1852,1900,1900,47,47,0
41,Z,0.079775,40,0,47,0,47,47,95,95,47
41,S,0.920225,40,0,47,0,47,47,95,95,47
42,Z,0.075482,40,47,47,47,95,95,95,95,47
42,S,0.924518,40,47,47,47,95,95,95,95,47
43,Z,0.031241,40,95,47,95,142,142,95,95,47
43,S,0.968759,40,95,47,95,142,142,95,95,47
44,Z,0.196514,40,142,47,142,190,190,95,95,47
44,S,0.803486,40,142,47,142,190,190,95,95,47
45,Z,0.077602,40,190,47,190,237,237,95,95,47
45,S,0.922398,40,190,47,190,237,237,95,95,47
46,Z,0.019486,40,237,47,237,285,285,95,95,47
46,S,0.980514,40,237,47,237,285,285,95,95,47
47,Z,0.357725,40,285,47,285,332,332,95,95,47
47,S,0.642275,40,285,47,285,332,332,95,95,47
48,Z,0.011143,40,332,47,332,380,380,95,95,47
48,S,0.988857,40,332,47,332,380,380,95,95,47
49,Z,0.008259,40,380,47,380,427,427,95,95,47
49,S,0.991741,40,380,47,380,427,427,95,95,47
50,Z,0.038214,40,427,47,427,475,475,95,95,47
50,S,0.961786,40,427,47,427,475,475,95,95,47
51,Z,0.082176,40,475,47,475,522,522,95,95,47
51,S,0.917824,40,475,47,475,522,522,95,95,47
52,Z,0.044589,40,522,47,522,570,570,95,95,47
52,S,0.955411,40,522,47,522,570,570,95,95,47
53,Z,0.084838,40,570,47,570,617,617,95,95,47
53,S,0.915162,40,570,47,570,617,617,95,95,47
54,Z,0.076674,40,617,47,617,665,665,95,95,47
54,S,0.923326,40,617,47,617,665,665,95,95,47
55,Z,0.789999,40,665,47,665,712,712,95,95,47
55,S,0.210001,40,665,47,665,712,712,95,95,47
56,Z,0.057764,40,712,47,712,760,760,95,95,47
56,S,0.942236,40,712,47,712,760,760,95,95,47
57,Z,0.048255,40,760,47,760,807,807,95,95,47
57,S,0.951745,40,760,47,760,807,807,95,95,47
58,Z,0.115422,40,807,47,807,855,855,95,95,47
58,S,0.884578,40,807,47,807,855,855,95,95,47
59,Z,0.452363,40,855,47,855,902,902,95,95,47
59,S,0.547637,40,855,47,855,902,902,95,95,47
60,Z,0.112452,40,902,47,902,950,950,95,95,47
60,S,0.887547,40,902,47,902,950,950,95,95,47
61,Z,0.049813,40,950,47,950,997,997,95,95,47
61,S,0.950187,40,950,47,950,997,997,95,95,47
62,Z,0.052437,40,997,47,997,1045,1045,95,95,47
62,S,0.947563,40,997,47,997,1045,1045,95,95,47
63,Z,0.043004,40,1045,47,1045,1092,1092,95,95,47
63,S,0.956996,40,1045,47,1045,1092,1092,95,95,47
64,Z,0.038636,40,1092,47,1092,1140,1140,95,95,47
64,S,0.961364,40,1092,47,1092,1140,1140,95,95,47
65,Z,0.022739,40,1140,47,1140,1187,1187,95,95,47
65,S,0.977261,40,1140,47,1140,1187,1187,95,95,47
66,Z,0.289584,40,1187,47,1187,1235,1235,95,95,47
66,S,0.710416,40,1187,47,1187,1235,1235,95,95,47
67,Z,0.011936,40,1235,47,1235,1282,1282,95,95,47
67,S,0.988064,40,1235,47,1235,1282,1282,95,95,47
68,Z,0.019502,40,1282,47,1282,1330,1330,95,95,47
68,S,0.980498,40,1282,47,1282,1330,1330,95,95,47
69,Z,0.082058,40,1330,47,1330,1377,1377,95,95,47
69,S,0.917942,40,1330,47,1330,1377,1377,95,95,47
70,Z,0.080714,40,1377,47,1377,1425,1425,95,95,47
70,S,0.919286,40,1377,47,1377,1425,1425,95,95,47
71,Z,0.023132,40,1425,47,1425,1472,1472,95,95,47
71,S,0.976868,40,1425,47,1425,1472,1472,95,95,47
72,Z,0.078809,40,1472,47,1472,1520,1520,95,95,47
72,S,0.921191,40,1472,47,1472,1520,1520,95,95,47
73,Z,0.047216,40,1520,47,1520,1567,1567,95,95,47
73,S,0.952784,40,1520,47,1520,1567,1567,95,95,47
74,Z,0.278305,40,1567,47,1567,1615,1615,95,95,47
74,S,0.721695,40,1567,47,1567,1615,1615,95,95,47
75,Z,0.316757,40,1615,47,1615,1662,1662,95,95,47
75,S,0.683243,40,1615,47,1615,1662,1662,95,95,47
76,Z,0.033816,40,1662,47,1662,1710,1710,95,95,47
76,S,0.966184,40,1662,47,1662,1710,1710,95,95,47
77,Z,0.020710,40,1710,47,1710,1757,1757,95,95,47
77,S,0.979290,40,1710,47,1710,1757,1757,95,95,47
78,Z,0.020190,40,1757,47,1757,1805,1805,95,95,47
78,S,0.979810,40,1757,47,1757,1805,1805,95,95,47
79,Z,0.236834,40,1805,47,1805,1852,1852,95,95,47
79,S,0.763166,40,1805,47,1805,1852,1852,95,95,47
80,Z,0.066068,40,1852,47,1852,1900,1900,95,95,47
80,S,0.933932,40,1852,47,1852,1900,1900,95,95,47
81,Z,0.192559,40,0,95,0,47,47,142,142,95
81,S,0.807441,40,0,95,0,47,47,142,142,95
82,Z,0.013282,40,47,95,47,95,95,142,142,95
82,S,0.986718,40,47,95,47,95,95,142,142,95
83,Z,0.035544,40,95,95,95,142,142,142,142,95
83,S,0.964456,40,95,95,95,142,142,142,142,95
84,Z,0.322810,40,142,95,142,190,190,142,142,95
84,S,0.677190,40,142,95,142,190,190,142,142,95
85,Z,0.041780,40,190,95,190,237,237,142,142,95
85,S,0.958220,40,190,95,190,237,237,142,142,95
86,Z,0.187003,40,237,95,237,285,285,142,142,95
86,S,0.812997,40,237,95,237,285,285,142,142,95
87,Z,0.016265,40,285,95,285,332,332,142,142,95
87,S,0.983735,40,285,95,285,332,332,142,142,95
88,Z,0.089819,40,332,95,332,380,380,142,142,95
88,S,0.910181,40,332,95,332,380,380,142,142,95
89,Z,0.104355,40,380,95,380,427,427,142,142,95
89,S,0.895645,40,380,95,380,427,427,142,142,95
90,Z,0.004565,40,427,95,427,475,475,142,142,95
90,S,0.995434,40,427,95,427,475,475,142,142,95
91,Z,0.010551,40,475,95,475,522,522,142,142,95
91,S,0.989449,40,475,95,475,522,522,142,142,95
92,Z,0.020253,40,522,95,522,570,570,142,142,95
92,S,0.979747,40,522,95,522,570,570,142,142,95
93,Z,0.038534,40,570,95,570,617,617,142,142,95
93,S,0.961466,40,570,95,570,617,617,142,142,95
94,Z,0.044814,40,617,95,617,665,665,142,142,95
94,S,0.955186,40,617,95,617,665,665,142,142,95
95,Z,0.221614,40,665,95,665,712,712,142,142,95
95,S,0.778386,40,665,95,665,712,712,142,142,95
96,Z,0.016083,40,712,95,712,760,760,142,142,95
96,S,0.983917,40,712,95,712,760,760,142,142,95
97,Z,0.022297,40,760,95,760,807,807,142,142,95
97,S,0.977703,40,760,95,760,807,807,142,142,95
98,Z,0.215738,40,807,95,807,855,855,142,142,95
98,S,0.784262,40,807,95,807,855,855,142,142,95
99,Z,0.082585,40,855,95,855,902,902,142,142,95
99,S,0.917415,40,855,95,855,902,902,142,142,95
100,Z,0.092517,40,902,95,902,950,950,142,142,95
100,S,0.907483,40,902,95,902,950,950,142,142,95
101,Z,0.101227,40,950,95,950,997,997,142,142,95
101,S,0.898773,40,950,95,950,997,997,142,142,95
102,Z,0.121284,40,997,95,997,1045,1045,142,142,95
102,S,0.878716,40,997,95,997,1045,1045,142,142,95
103,Z,0.130531,40,1045,95,1045,1092,1092,142,142,95
103,S,0.869469,40,1045,95,1045,1092,1092,142,142,95
104,Z,0.028853,40,1092,95,1092,1140,1140,142,142,95
104,S,0.971147,40,1092,95,1092,1140,1140,142,142,95
105,Z,0.009518,40,1140,95,1140,1187,1187,142,142,95
105,S,0.990482,40,1140,95,1140,1187,1187,142,142,95
106,Z,0.024725,40,1187,95,1187,1235,1235,142,142,95
106,S,0.975275,40,1187,95,1187,1235,1235,142,142,95
107,Z,0.017654,40,1235,95,1235,1282,1282,142,142,95
107,S,0.982346,40,1235,95,1235,1282,1282,142,142,95
108,Z,0.006818,40,1282,95,1282,1330,1330,142,142,95
108,S,0.993182,40,1282,95,1282,1330,1330,142,142,95
109,Z,0.119542,40,1330,95,1330,1377,1377,142,142,95
109,S,0.880458,40,1330,95,1330,1377,1377,142,142,95
110,Z,0.007780,40,1377,95,1377,1425,1425,142,142,95
110,S,0.992220,40,1377,95,1377,1425,1425,142,142,95
111,Z,0.048510,40,1425,95,1425,1472,1472,142,142,95
111,S,0.951490,40,1425,95,1425,1472,1472,142,142,95
112,Z,0.030654,40,1472,95,1472,1520,1520,142,142,95
112,S,0.969346,40,1472,95,1472,1520,1520,142,142,95
113,Z,0.037850,40,1520,95,1520,1567,1567,142,142,95
113,S,0.962150,40,1520,95,1520,1567,1567,142,142,95
114,Z,0.034155,40,1567,95,1567,1615,1615,142,142,95
114,S,0.965845,40,1567,95,1567,1615,1615,142,142,95
115,Z,0.025840,40,1615,95,1615,1662,1662,142,142,95
115,S,0.974160,40,1615,95,1615,1662,1662,142,142,95
116,Z,0.101541,40,1662,95,1662,1710,1710,142,142,95
116,S,0.898459,40,1662,95,1662,1710,1710,142,142,95
117,Z,0.109145,40,1710,95,1710,1757,1757,142,142,95
117,S,0.890855,40,1710,95,1710,1757,1757,142,142,95
118,Z,0.073178,40,1757,95,1757,1805,1805,142,142,95
118,S,0.926822,40,1757,95,1757,1805,1805,142,142,95
119,Z,0.558826,40,1805,95,1805,1852,1852,142,142,95
119,S,0.441174,40,1805,95,1805,1852,1852,142,142,95
120,Z,0.054414,40,1852,95,1852,1900,1900,142,142,95
120,S,0.945586,40,1852,95,1852,1900,1900,142,142,95
121,Z,0.089104,40,0,142,0,47,47,190,190,142
121,S,0.910896,40,0,142,0,47,47,190,190,142
122,Z,0.091889,40,47,142,47,95,95,190,190,142
122,S,0.908111,40,47,142,47,95,95,190,190,142
123,Z,0.029557,40,95,142,95,142,142,190,190,142
123,S,0.970443,40,95,142,95,142,142,190,190,142
124,Z,0.039046,40,142,142,142,190,190,190,190,142
124,S,0.960954,40,142,142,142,190,190,190,190,142
125,Z,0.009101,40,190,142,190,237,237,190,190,142
125,S,0.990899,40,190,142,190,237,237,190,190,142
126,Z,0.132797,40,237,142,237,285,285,190,190,142
126,S,0.867203,40,237,142,237,285,285,190,190,142
127,Z,0.019561,40,285,142,285,332,332,190,190,142
127,S,0.980439,40,285,142,285,332,332,190,190,142
128,Z,0.028059,40,332,142,332,380,380,190,190,142
128,S,0.971941,40,332,142,332,380,380,190,190,142
129,Z,0.073734,40,380,142,380,427,427,190,190,142
129,S,0.926266,40,380,142,380,427,427,190,190,142
130,Z,0.066326,40,427,142,427,475,475,190,190,142
130,S,0.933674,40,427,142,427,475,475,190,190,142
131,Z,0.013677,40,475,142,475,522,522,190,190,142
131,S,0.986323,40,475,142,475,522,522,190,190,142
132,Z,0.101508,40,522,142,522,570,570,190,190,142
